"id","symbol","open","high","low","close","timeframe","priceDateTime","createdAt","updatedAt"
19128902,GOLDM#,1829.73,1831.65,1827.88,1828.31,H1,2022-01-02 22:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128903,GOLDM#,1828.26,1830.88,1826.88,1830.18,H1,2022-01-02 23:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128904,GOLDM#,1830.05,1831.41,1827.44,1828.66,H1,2022-01-03 00:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128905,GOLDM#,1828.7,1828.77,1825.55,1826.11,H1,2022-01-03 01:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128906,GOLDM#,1826.12,1826.79,1824.16,1825.66,H1,2022-01-03 02:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128907,GOLDM#,1825.65,1825.9,1824.52,1825.08,H1,2022-01-03 03:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128908,GOLDM#,1825.09,1825.69,1823.6,1825.36,H1,2022-01-03 04:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128909,GOLDM#,1825.34,1825.68,1823.64,1825.23,H1,2022-01-03 05:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128910,GOLDM#,1825.28,1825.33,1821.01,1824.12,H1,2022-01-03 06:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128911,GOLDM#,1824.12,1824.25,1821.31,1822.94,H1,2022-01-03 07:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128912,GOLDM#,1822.92,1826.63,1822.47,1826.42,H1,2022-01-03 08:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128913,GOLDM#,1826.45,1827.45,1825.49,1826.41,H1,2022-01-03 09:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128914,GOLDM#,1826.41,1827.05,1822.28,1822.91,H1,2022-01-03 10:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128915,GOLDM#,1822.96,1823.28,1821.29,1821.74,H1,2022-01-03 11:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128916,GOLDM#,1821.58,1821.94,1805.89,1807.19,H1,2022-01-03 12:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128917,GOLDM#,1807.14,1810.82,1802.95,1802.97,H1,2022-01-03 13:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128918,GOLDM#,1802.92,1806.75,1799.92,1801.88,H1,2022-01-03 14:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128919,GOLDM#,1801.86,1802.01,1798.25,1800.75,H1,2022-01-03 15:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128920,GOLDM#,1800.7,1800.95,1798.83,1799.74,H1,2022-01-03 16:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128921,GOLDM#,1799.71,1802.21,1799.12,1801.67,H1,2022-01-03 17:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128922,GOLDM#,1801.72,1802.97,1801.02,1801.74,H1,2022-01-03 18:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128923,GOLDM#,1801.75,1804.63,1801.13,1801.72,H1,2022-01-03 19:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128924,GOLDM#,1801.79,1802.24,1800.93,1801.23,H1,2022-01-03 20:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128925,GOLDM#,1801.23,1804.27,1801.05,1804.1,H1,2022-01-03 22:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128926,GOLDM#,1804.11,1804.86,1802.87,1804.41,H1,2022-01-03 23:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128927,GOLDM#,1804.31,1806.75,1803.17,1805.03,H1,2022-01-04 00:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128928,GOLDM#,1805.1,1807.07,1804.6,1805.35,H1,2022-01-04 01:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128929,GOLDM#,1805.31,1806.14,1803.8,1804.15,H1,2022-01-04 02:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128930,GOLDM#,1804.19,1804.24,1803.12,1803.43,H1,2022-01-04 03:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128931,GOLDM#,1803.33,1805.43,1803.2,1805.36,H1,2022-01-04 04:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128932,GOLDM#,1805.33,1805.98,1803.38,1803.41,H1,2022-01-04 05:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128933,GOLDM#,1803.44,1807.34,1803.07,1805.59,H1,2022-01-04 06:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128934,GOLDM#,1805.68,1806.82,1803.39,1804.03,H1,2022-01-04 07:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128935,GOLDM#,1804,1806.64,1801.77,1805.64,H1,2022-01-04 08:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128936,GOLDM#,1805.69,1808.41,1805.26,1805.71,H1,2022-01-04 09:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128937,GOLDM#,1805.73,1805.73,1802.32,1803.94,H1,2022-01-04 10:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128938,GOLDM#,1803.93,1804.93,1798.47,1801.34,H1,2022-01-04 11:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128939,GOLDM#,1801.25,1807.17,1799.6,1807.15,H1,2022-01-04 12:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128940,GOLDM#,1807.14,1810.84,1806.13,1810.09,H1,2022-01-04 13:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128941,GOLDM#,1812.02,1816.52,1807.62,1814.42,H1,2022-01-04 14:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128942,GOLDM#,1814.41,1815.49,1811.56,1812.42,H1,2022-01-04 15:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128943,GOLDM#,1812.48,1815.02,1811.72,1813.5,H1,2022-01-04 16:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128944,GOLDM#,1813.49,1815.18,1813.38,1815.12,H1,2022-01-04 17:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128945,GOLDM#,1815.13,1815.21,1813.56,1814.53,H1,2022-01-04 18:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128946,GOLDM#,1814.41,1815.39,1813.39,1815.12,H1,2022-01-04 19:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128947,GOLDM#,1815.1,1815.35,1814.09,1814.45,H1,2022-01-04 20:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128948,GOLDM#,1814.71,1814.8,1812.98,1813.86,H1,2022-01-04 22:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128949,GOLDM#,1813.83,1814.6,1812.72,1812.9,H1,2022-01-04 23:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128950,GOLDM#,1812.89,1815.29,1812.67,1815.21,H1,2022-01-05 00:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128951,GOLDM#,1815.12,1816.16,1814.12,1815.49,H1,2022-01-05 01:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128952,GOLDM#,1815.55,1816.46,1814.3,1815.38,H1,2022-01-05 02:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128953,GOLDM#,1815.37,1815.37,1814.56,1814.87,H1,2022-01-05 03:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128954,GOLDM#,1814.85,1816.19,1814.25,1815.76,H1,2022-01-05 04:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128955,GOLDM#,1815.73,1816.96,1812.67,1813,H1,2022-01-05 05:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128956,GOLDM#,1813.05,1815.51,1812.47,1813.48,H1,2022-01-05 06:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128957,GOLDM#,1813.45,1817.6,1813.27,1816.61,H1,2022-01-05 07:00:00.000,2026-05-20 16:28:33.900,2026-05-20 16:28:33.900
19128958,GOLDM#,1816.65,1820.23,1816.21,1817.62,H1,2022-01-05 08:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128959,GOLDM#,1817.58,1820,1817.58,1818.25,H1,2022-01-05 09:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128960,GOLDM#,1818.24,1820.8,1817.71,1818.6,H1,2022-01-05 10:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128961,GOLDM#,1818.64,1819.21,1816.87,1817.92,H1,2022-01-05 11:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128962,GOLDM#,1817.97,1827.75,1814.78,1825.47,H1,2022-01-05 12:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128963,GOLDM#,1825.5,1829.42,1824.96,1825.61,H1,2022-01-05 13:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128964,GOLDM#,1825.59,1826.43,1820.47,1823.35,H1,2022-01-05 14:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128965,GOLDM#,1823.36,1825.33,1822.24,1823.8,H1,2022-01-05 15:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128966,GOLDM#,1823.81,1825.61,1822.64,1822.83,H1,2022-01-05 16:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128967,GOLDM#,1822.79,1824.98,1822.54,1823.93,H1,2022-01-05 17:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128968,GOLDM#,1823.95,1824.45,1812.32,1812.91,H1,2022-01-05 18:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128969,GOLDM#,1812.95,1814.37,1808.11,1809.92,H1,2022-01-05 19:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128970,GOLDM#,1809.58,1810.83,1808.81,1810.22,H1,2022-01-05 20:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128971,GOLDM#,1810.43,1811.37,1809.85,1810.21,H1,2022-01-05 22:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128972,GOLDM#,1810.22,1810.42,1807.72,1809.19,H1,2022-01-05 23:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128973,GOLDM#,1809.16,1811.45,1807.03,1810.15,H1,2022-01-06 00:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128974,GOLDM#,1810.18,1810.19,1808.08,1809.14,H1,2022-01-06 01:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128975,GOLDM#,1809.16,1809.29,1806.48,1806.95,H1,2022-01-06 02:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128976,GOLDM#,1806.94,1806.98,1805.25,1805.32,H1,2022-01-06 03:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128977,GOLDM#,1805.33,1807.51,1802.96,1802.96,H1,2022-01-06 04:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128978,GOLDM#,1802.92,1803.75,1799.41,1801.98,H1,2022-01-06 05:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128979,GOLDM#,1801.94,1803.67,1799.3,1800.99,H1,2022-01-06 06:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128980,GOLDM#,1800.98,1802.1,1794.59,1795.52,H1,2022-01-06 07:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128981,GOLDM#,1795.59,1796.5,1793.64,1794.88,H1,2022-01-06 08:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128982,GOLDM#,1794.93,1806.97,1793.8,1801.24,H1,2022-01-06 09:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128983,GOLDM#,1801.25,1801.78,1796.92,1797.37,H1,2022-01-06 10:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128984,GOLDM#,1797.39,1800.43,1791.88,1791.88,H1,2022-01-06 11:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128985,GOLDM#,1791.93,1793.32,1786.83,1788.45,H1,2022-01-06 12:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128986,GOLDM#,1788.43,1795.53,1787.02,1791.75,H1,2022-01-06 13:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128987,GOLDM#,1793.18,1795.75,1787.94,1790.57,H1,2022-01-06 14:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128988,GOLDM#,1790.62,1792.93,1789.21,1789.3,H1,2022-01-06 15:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128989,GOLDM#,1789.29,1793.39,1788.58,1790.92,H1,2022-01-06 16:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128990,GOLDM#,1790.81,1791.4,1787.57,1787.59,H1,2022-01-06 17:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128991,GOLDM#,1787.57,1789.6,1786.38,1788.03,H1,2022-01-06 18:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128992,GOLDM#,1788.01,1789.6,1787.43,1788.03,H1,2022-01-06 19:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128993,GOLDM#,1788.04,1790.96,1787.75,1790.88,H1,2022-01-06 20:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128994,GOLDM#,1790.96,1791.59,1790.5,1791.36,H1,2022-01-06 22:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
19128995,GOLDM#,1791.38,1792.56,1790.99,1791.92,H1,2022-01-06 23:00:00.000,2026-05-20 16:28:34.046,2026-05-20 16:28:34.046
